lat,lng,desc,zip,title,timeStamp,twp,addr
40.1886187,-75.2396806,WINDSOR CIR & WELLINGTON DR;  LOWER GWYNEDD; Station 351; 2016-01-01 @ 00:52:18;,19477,EMS: FALL VICTIM,1/1/2016 0:52,LOWER GWYNEDD,WINDSOR CIR & WELLINGTON DR
40.1477448,-75.3538543,WHITEHALL RD & SANDRA LN; EAST NORRITON; 2016-01-01 @ 00:52:20;,19403,Traffic: VEHICLE ACCIDENT -,1/1/2016 0:52,EAST NORRITON,WHITEHALL RD & SANDRA LN
40.073508,-75.3023225,ANGEL ALY & POPLAR ST;  CONSHOHOCKEN; Station 313A; 2016-01-01 @ 00:58:30;,19428,EMS: RESPIRATORY EMERGENCY,1/1/2016 0:58,CONSHOHOCKEN,ANGEL ALY & POPLAR ST
40.0812601,-75.1370254,LUCRETIA MOTT WAY & COMPOUND 20;  CHELTENHAM; Station 358; 2016-01-01 @ 01:03:38;,,EMS: CARDIAC EMERGENCY,1/1/2016 1:03,CHELTENHAM,LUCRETIA MOTT WAY & COMPOUND 20
40.033578,-75.2670955,SCHUYLKILL EXPY & CONSHOHOCKEN STATE UNDERPASS; LOWER MERION; 2016-01-01 @ 01:06:16;,,Traffic: DISABLED VEHICLE -,1/1/2016 1:06,LOWER MERION,SCHUYLKILL EXPY & CONSHOHOCKEN STATE UNDERPASS
40.2449124,-75.6443631,HIGH ST & S FRANKLIN ST;  POTTSTOWN; Station 329; 2016-01-01 @ 01:13:39;,19464,EMS: HEAD INJURY,1/1/2016 1:13,POTTSTOWN,HIGH ST & S FRANKLIN ST
40.301687,-75.6207666,AMADEO DR & BUCHERT RD; DOUGLASS; 2016-01-01 @ 01:18:00-Station:STA67;,19525,Fire: FIRE ALARM,1/1/2016 1:18,DOUGLASS,AMADEO DR & BUCHERT RD
40.1457558,-75.3099223,DEKALB BLVD & ADAMS AVE; EAST NORRITON; 2016-01-01 @ 01:48:20;,19401,Traffic: HAZARDOUS ROAD CONDITIONS -,1/1/2016 1:48,EAST NORRITON,DEKALB BLVD & ADAMS AVE
40.0853382,-75.3961351,GULPH RD & MALL BLVD;  UPPER MERION; Station 317; 2016-01-01 @ 01:55:46;,19406,EMS: OVERDOSE,1/1/2016 1:55,UPPER MERION,GULPH RD & MALL BLVD
40.2569019,-75.2818744,WEDGEWOOD DR & MOYERS RD;  LANSDALE; Station 345; 2016-01-01 @ 01:53:06;,19446,EMS: DIZZINESS,1/1/2016 1:53,LANSDALE,WEDGEWOOD DR & MOYERS RD
40.1184098,-75.3563498,LAFAYETTE ST & ROBERTS ALY;  NORRISTOWN; Station 308A; 2016-01-01 @ 01:54:30;,19401,EMS: FALL VICTIM,1/1/2016 1:54,NORRISTOWN,LAFAYETTE ST & ROBERTS ALY
40.2440656,-75.6146616,HIGH ST;  POTTSTOWN; Station 329; 2016-01-01 @ 01:58:20;,19464,EMS: ABDOMINAL PAINS,1/1/2016 1:58,POTTSTOWN,HIGH ST
40.0247135,-75.2296405,BELMONT AVE & JEFFERSON ST;  LOWER MERION; Station 313; 2016-01-01 @ 01:58:51;,19004,EMS: ASSAULT VICTIM,1/1/2016 1:58,LOWER MERION,BELMONT AVE & JEFFERSON ST
40.244557,-75.6415046,HIGH ST & UNION ST;  POTTSTOWN; Station 329; 2016-01-01 @ 01:56:43;,19464,EMS: UNKNOWN MEDICAL EMERGENCY,1/1/2016 1:56,POTTSTOWN,HIGH ST & UNION ST
40.3147212,-75.3929654,MORWOOD RD & CAMP RD;  FRANCONIA; Station 344; 2016-01-01 @ 02:02:19;,18969,EMS: OVERDOSE,1/1/2016 2:02,FRANCONIA,MORWOOD RD & CAMP RD
40.2948168,-75.537972,BIG RD & COLONIAL RD; UPPER FREDERICK; 2016-01-01 @ 02:06:05-Station:STA87;,18074,Fire: FIRE ALARM,1/1/2016 2:06,UPPER FREDERICK,BIG RD & COLONIAL RD
40.1723141,-75.4927278,MILL RD & DEAD END;  UPPER PROVIDENCE; Station 322A; 2016-01-01 @ 02:08:31;,,EMS: OVERDOSE,1/1/2016 2:08,UPPER PROVIDENCE,MILL RD & DEAD END
40.18942,-75.4782557,3RD AVE & BRONSON CIR;  TRAPPE; Station 324; 2016-01-01 @ 02:09:16;,19426,EMS: RESPIRATORY EMERGENCY,1/1/2016 2:09,TRAPPE,3RD AVE & BRONSON CIR
40.31274,-75.3142788,BROAD ST & NOBLE ALY;  TELFORD; Station 339; 2016-01-01 @ 02:13:34;,18964,EMS: ASSAULT VICTIM,1/1/2016 2:13,TELFORD,BROAD ST & NOBLE ALY
40.0832162,-75.0922116,HUNTINGDON PIKE & ELM AVE;  ROCKLEDGE; Station 382; 2016-01-01 @ 02:15:53;,19046,EMS: UNCONSCIOUS SUBJECT,1/1/2016 2:15,ROCKLEDGE,HUNTINGDON PIKE & ELM AVE
40.2186312,-75.4739275,BURGESS RD & CRANBERRY BLVD;  PERKIOMEN; Station 324; 2016-01-01 @ 02:18:57;,19426,EMS: ALTERED MENTAL STATUS,1/1/2016 2:18,PERKIOMEN,BURGESS RD & CRANBERRY BLVD
40.2605355,-75.3666079,MAIN ST & GODSHALL DR;  LOWER SALFORD; Station 344; 2016-01-01 @ 02:20:52;,19438,EMS: DIZZINESS,1/1/2016 2:20,LOWER SALFORD,MAIN ST & GODSHALL DR
40.1201276,-75.3501929,GEORGE ST & HAWS ALY;  NORRISTOWN; Station 308A; 2016-01-01 @ 02:40:49;,19401,EMS: CARDIAC EMERGENCY,1/1/2016 2:40,NORRISTOWN,GEORGE ST & HAWS ALY
40.2511067,-75.6484443,HANOVER ST & E 4TH ST;  POTTSTOWN; Station 329; 2016-01-01 @ 02:36:33;,19464,EMS: OVERDOSE,1/1/2016 2:36,POTTSTOWN,HANOVER ST & E 4TH ST
40.2290075,-75.3878525,RIVERSIDE DR & DEAD END;  CHESTER COUNTY; Station 3A84; 2016-01-01 @ 02:44:07;,,EMS: ABDOMINAL PAINS,1/1/2016 2:44,CHESTER COUNTY,RIVERSIDE DR & DEAD END
40.1795116,-75.2777325,DEKALB PIKE & MORRIS RD; WHITPAIN; 2016-01-01 @ 02:48:03;,19422,Traffic: VEHICLE ACCIDENT -,1/1/2016 2:48,WHITPAIN,DEKALB PIKE & MORRIS RD
40.0843516,-75.1367297,SERPENTINE LN & PARDEE LN;  CHELTENHAM; Station 358; 2016-01-01 @ 02:54:54;,19095,EMS: OVERDOSE,1/1/2016 2:54,CHELTENHAM,SERPENTINE LN & PARDEE LN
40.314883,-75.3112328,SOUDERTON RD & COUNTY LINE RD; BUCKS COUNTY; 2016-01-01 @ 03:06:42-Station:STA74;,18964,Fire: FIRE ALARM,1/1/2016 3:06,BUCKS COUNTY,SOUDERTON RD & COUNTY LINE RD
39.995444,-75.267964,LANCASTER AVE & REMINGTON RD; LOWER MERION; 2016-01-01 @ 03:14:39;,19096,Traffic: DISABLED VEHICLE -,1/1/2016 3:14,LOWER MERION,LANCASTER AVE & REMINGTON RD
40.0923772,-75.1605303,CHURCH RD & BICKLEY RD;  CHELTENHAM; Station 358A; 2016-01-01 @ 03:21:20;,19038,EMS: ABDOMINAL PAINS,1/1/2016 3:21,CHELTENHAM,CHURCH RD & BICKLEY RD
40.3176323,-75.5700934,N CHARLOTTE ST & BIG RD; NEW HANOVER; 2016-01-01 @ 03:35:21;,19525,Traffic: VEHICLE ACCIDENT -,1/1/2016 3:35,NEW HANOVER,N CHARLOTTE ST & BIG RD
40.1666916,-75.2155495,WILLOW AVE & ROSE VALLEY WAY;  UPPER DUBLIN; Station 351; 2016-01-01 @ 03:58:03;,19002,EMS: CARDIAC EMERGENCY,1/1/2016 3:58,UPPER DUBLIN,WILLOW AVE & ROSE VALLEY WAY
40.1196107,-75.2156064,CHURCH RD & BETHLEHEM PIKE; WHITEMARSH; 2016-01-01 @ 03:59:34;,19031,Traffic: VEHICLE ACCIDENT -,1/1/2016 3:59,WHITEMARSH,CHURCH RD & BETHLEHEM PIKE
40.3485437,-75.3915483,WHITES MILL RD & RIDGE RD;  SALFORD; Station 344A; 2016-01-01 @ 04:14:33;,18969,EMS: HEAD INJURY,1/1/2016 4:14,SALFORD,WHITES MILL RD & RIDGE RD
40.1194993,-75.3552798,MAIN ST & KNOX ST;  NORRISTOWN; Station 308A; 2016-01-01 @ 04:30:53;,19401,EMS: CARDIAC EMERGENCY,1/1/2016 4:30,NORRISTOWN,MAIN ST & KNOX ST
40.10529,-75.4085587,MANCILL MILL RD & W VALLEY FORGE RD;  UPPER MERION; Station 317; 2016-01-01 @ 04:44:28;,19406,EMS: ABDOMINAL PAINS,1/1/2016 4:44,UPPER MERION,MANCILL MILL RD & W VALLEY FORGE RD
40.1243081,-75.1198513,JERICHO RD & ROCKWELL RD;  ABINGTON; Station 381; 2016-01-01 @ 05:00:55;,19001,EMS: ASSAULT VICTIM,1/1/2016 5:00,ABINGTON,JERICHO RD & ROCKWELL RD
40.0851848,-75.2922219,NORTH LN & HALLOWELL ST;  WHITEMARSH; Station 318; 2016-01-01 @ 05:23:30;,19428,EMS: FALL VICTIM,1/1/2016 5:23,WHITEMARSH,NORTH LN & HALLOWELL ST
40.1374849,-75.5044307,BRIDGE ST & GRACE ST;  UPPER PROVIDENCE; Station 3A85; 2016-01-01 @ 05:22:55;,19453,EMS: SEIZURES,1/1/2016 5:22,UPPER PROVIDENCE,BRIDGE ST & GRACE ST
40.0335101,-75.3267429,W MONTGOMERY AVE & WENDOVER AVE; LOWER MERION; 2016-01-01 @ 05:45:13;,19010,Traffic: DISABLED VEHICLE -,1/1/2016 5:45,LOWER MERION,W MONTGOMERY AVE & WENDOVER AVE
40.1033767,-75.4124499,VALLEY FORGE CIR & OLD VALLEY FORGE RD;  UPPER MERION; Station 317; 2016-01-01 @ 06:12:30;,19406,EMS: CARDIAC EMERGENCY,1/1/2016 6:12,UPPER MERION,VALLEY FORGE CIR & OLD VALLEY FORGE RD
40.1330371,-75.4084631,SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; Station 322A; 2016-01-01 @ 06:15:31;,19403,EMS: SUBJECT IN PAIN,1/1/2016 6:15,LOWER PROVIDENCE,SHANNONDELL DR & SHANNONDELL BLVD
40.0851848,-75.2922219,NORTH LN & HALLOWELL ST;  WHITEMARSH; Station 318; 2016-01-01 @ 06:25:16;,19428,EMS: FALL VICTIM,1/1/2016 6:25,WHITEMARSH,NORTH LN & HALLOWELL ST
40.2774679,-75.2604622,BETHLEHEM PIKE & TREWIGTOWN RD;  HATFIELD TOWNSHIP; Station 345; 2016-01-01 @ 06:26:43;,19440,EMS: UNRESPONSIVE SUBJECT,1/1/2016 6:26,HATFIELD TOWNSHIP,BETHLEHEM PIKE & TREWIGTOWN RD
40.1243602,-75.3815526,BRANDON RD & S SCHUYLKILL AVE;  WEST NORRITON; Station 308B; 2016-01-01 @ 06:32:59;,19403,EMS: GENERAL WEAKNESS,1/1/2016 6:32,WEST NORRITON,BRANDON RD & S SCHUYLKILL AVE
40.2872881,-75.4749843,SALFORD STATION RD & CEPP RD;  LOWER FREDERICK; Station 331; 2016-01-01 @ 07:06:50;,18074,EMS: RESPIRATORY EMERGENCY,1/1/2016 7:06,LOWER FREDERICK,SALFORD STATION RD & CEPP RD
40.3135679,-75.6111876,VIRMAY DR & MENSCH LN;  DOUGLASS; Station 332; 2016-01-01 @ 07:09:49;,19525,EMS: RESPIRATORY EMERGENCY,1/1/2016 7:09,DOUGLASS,VIRMAY DR & MENSCH LN
40.3477181,-75.481816,LAKEVIEW DR & GREEN HILL DR;  MARLBOROUGH; Station 344A; 2016-01-01 @ 07:12:45;,18054,EMS: UNRESPONSIVE SUBJECT,1/1/2016 7:12,MARLBOROUGH,LAKEVIEW DR & GREEN HILL DR
40.2883557,-75.3785374,MAPLE AVE & YODER RD;  FRANCONIA; Station 344; 2016-01-01 @ 07:26:07;,19438,EMS: MEDICAL ALERT ALARM,1/1/2016 7:26,FRANCONIA,MAPLE AVE & YODER RD
40.2595194,-75.6136019,KEIM ST & BUCHERT RD;  LOWER POTTSGROVE; Station 329; 2016-01-01 @ 07:38:50;,19464,EMS: SUBJECT IN PAIN,1/1/2016 7:38,LOWER POTTSGROVE,KEIM ST & BUCHERT RD
40.1566208,-75.4113257,EAGLEVILLE RD & SUNDERLAND DR;  LOWER PROVIDENCE; Station 322; 2016-01-01 @ 07:39:58;,19403,EMS: UNKNOWN MEDICAL EMERGENCY,1/1/2016 7:39,LOWER PROVIDENCE,EAGLEVILLE RD & SUNDERLAND DR
40.0878981,-75.2629699,RIDGE PIKE & OAKWYN RD;  WHITEMARSH; Station 318; 2016-01-01 @ 07:49:21;,19444,EMS: HEAD INJURY,1/1/2016 7:49,WHITEMARSH,RIDGE PIKE & OAKWYN RD
40.2013801,-75.1277042,HARCOURT LN & BUCKMAN DR;  HORSHAM; Station 352; 2016-01-01 @ 07:53:00;,19040,EMS: SUBJECT IN PAIN,1/1/2016 7:53,HORSHAM,HARCOURT LN & BUCKMAN DR
40.1237101,-75.3823902,S SCHUYLKILL AVE;  WEST NORRITON; Station 308B; 2016-01-01 @ 08:05:57;,19403,EMS: ALTERED MENTAL STATUS,1/1/2016 8:05,WEST NORRITON,S SCHUYLKILL AVE
40.0853382,-75.3961351,GULPH RD & MALL BLVD;  UPPER MERION; Station 317; 2016-01-01 @ 08:09:36;,19406,EMS: HEAD INJURY,1/1/2016 8:09,UPPER MERION,GULPH RD & MALL BLVD
40.2299606,-75.3138546,BRITTANY PT & VALLEY FORGE RD;  UPPER GWYNEDD; Station 345B; 2016-01-01 @ 08:25:33;,19446,EMS: RESPIRATORY EMERGENCY,1/1/2016 8:25,UPPER GWYNEDD,BRITTANY PT & VALLEY FORGE RD
40.1666116,-75.0678298,OAKWOOD DR & JASON DR;  UPPER MORELAND; Station 384; 2016-01-01 @ 08:26:09;,19006,EMS: RESPIRATORY EMERGENCY,1/1/2016 8:26,UPPER MORELAND,OAKWOOD DR & JASON DR
40.113372,-75.3413966,MAIN ST & GREEN ST;  NORRISTOWN; Station 308A; 2016-01-01 @ 08:27:05;,19401,EMS: FEVER,1/1/2016 8:27,NORRISTOWN,MAIN ST & GREEN ST
40.2466476,-75.6417829,WASHINGTON ST & CHESTNUT ST;  POTTSTOWN; Station 329; 2016-01-01 @ 08:31:33;,19464,EMS: RESPIRATORY EMERGENCY,1/1/2016 8:31,POTTSTOWN,WASHINGTON ST & CHESTNUT ST
40.0117673,-75.2946732,MONTGOMERY AVE & WOODSIDE RD;  LOWER MERION; Station 313; 2016-01-01 @ 08:38:02;,19041,EMS: FALL VICTIM,1/1/2016 8:38,LOWER MERION,MONTGOMERY AVE & WOODSIDE RD
40.113372,-75.3413966,MAIN ST & GREEN ST;  NORRISTOWN; Station 308A; 2016-01-01 @ 08:49:20;,19401,EMS: FEVER,1/1/2016 8:49,NORRISTOWN,MAIN ST & GREEN ST
40.2421914,-75.2847748,W MAIN ST & WALNUT ST; LANSDALE; 2016-01-01 @ 08:56:47;,19446,Traffic: VEHICLE ACCIDENT -,1/1/2016 8:56,LANSDALE,W MAIN ST & WALNUT ST
40.0889721,-75.2137696,BETHLEHEM PIKE & MEADOWBROOK LN;  SPRINGFIELD; Station 311; 2016-01-01 @ 09:04:49;,19038,EMS: RESPIRATORY EMERGENCY,1/1/2016 9:04,SPRINGFIELD,BETHLEHEM PIKE & MEADOWBROOK LN
40.2274316,-75.6235951,OLD SCHUYLKILL RD & E SCHUYLKILL RD;  CHESTER COUNTY; Station 3A84; 2016-01-01 @ 09:07:23;,19465,EMS: FALL VICTIM,1/1/2016 9:07,CHESTER COUNTY,OLD SCHUYLKILL RD & E SCHUYLKILL RD
40.2869801,-75.5736233,SWAMP PIKE & ROSENBERRY RD;  NEW HANOVER; Station 332; 2016-01-01 @ 09:11:52;,19525,EMS: FALL VICTIM,1/1/2016 9:11,NEW HANOVER,SWAMP PIKE & ROSENBERRY RD
40.1797311,-75.5313277,4TH AVE & APPLE ST;  UPPER PROVIDENCE; Station 325; 2016-01-01 @ 09:50:02;,19468,EMS: LACERATIONS,1/1/2016 9:50,UPPER PROVIDENCE,4TH AVE & APPLE ST
40.0981001,-75.3681554,HEARTHSTONE RD & FOX RUN RD;  UPPER MERION; Station 317; 2016-01-01 @ 09:52:47;,19406,EMS: ALTERED MENTAL STATUS,1/1/2016 9:52,UPPER MERION,HEARTHSTONE RD & FOX RUN RD
40.109202,-75.145074,EASTON RD & JENKINTOWN RD; ABINGTON; 2016-01-01 @ 09:51:15;,19038,Traffic: DISABLED VEHICLE -,1/1/2016 9:51,ABINGTON,EASTON RD & JENKINTOWN RD
40.1198332,-75.1253492,SUSQUEHANNA RD & RR CROSSING; ABINGTON; 2016-01-01 @ 10:00:00;,,Traffic: DISABLED VEHICLE -,1/1/2016 10:00,ABINGTON,SUSQUEHANNA RD & RR CROSSING
40.1653564,-75.2187019,BETHLEHEM PIKE & TENNIS AVE; LOWER GWYNEDD; 2016-01-01 @ 09:58:19;,19002,Traffic: ROAD OBSTRUCTION -,1/1/2016 9:58,LOWER GWYNEDD,BETHLEHEM PIKE & TENNIS AVE
40.1053245,-75.0653574,NICHOLAS DR & FOOTHILL DR;  ABINGTON; Station 382; 2016-01-01 @ 10:08:13;,19006,EMS: ABDOMINAL PAINS,1/1/2016 10:08,ABINGTON,NICHOLAS DR & FOOTHILL DR
40.1903913,-75.2695399,LAFAYETTE AVE & WISSAHICKON GREEN RIBBON TRL;  WHITEMARSH; Station 318; 2016-01-01 @ 10:12:05;,19454,EMS: CARDIAC EMERGENCY,1/1/2016 10:12,WHITEMARSH,LAFAYETTE AVE & WISSAHICKON GREEN RIBBON TRL
40.129538,-75.3246363,JOHNSON HWY & DEKALB ST;  EAST NORRITON; Station 308; 2016-01-01 @ 10:13:02;,19401,EMS: SEIZURES,1/1/2016 10:13,EAST NORRITON,JOHNSON HWY & DEKALB ST
40.0027741,-75.26366,WOODSIDE AVE & MAPLE AVE;  NARBERTH; Station 313; 2016-01-01 @ 10:19:28;,19072,EMS: RESPIRATORY EMERGENCY,1/1/2016 10:19,NARBERTH,WOODSIDE AVE & MAPLE AVE
40.2387237,-75.578516,EVERGREEN RD & W LIGHTCAP RD;  LOWER POTTSGROVE; Station 329; 2016-01-01 @ 10:24:23;,19464,EMS: RESPIRATORY EMERGENCY,1/1/2016 10:24,LOWER POTTSGROVE,EVERGREEN RD & W LIGHTCAP RD
40.0115854,-75.2425383,MEETING HOUSE LN & MANAYUNK RD; LOWER MERION; 2016-01-01 @ 10:23:11-Station:STA28;,19066,Fire: CARBON MONOXIDE DETECTOR,1/1/2016 10:23,LOWER MERION,MEETING HOUSE LN & MANAYUNK RD
40.0883549,-75.3821004,DEKALB PIKE & ALLENDALE RD; UPPER MERION; 2016-01-01 @ 10:26:18-Station:STA47;,19406,Fire: FIRE INVESTIGATION,1/1/2016 10:26,UPPER MERION,DEKALB PIKE & ALLENDALE RD
40.2436267,-75.6503595,SOUTH ST & AMANDA SMITH DR; POTTSTOWN; 2016-01-01 @ 10:35:45-Station:STA69;,19464,Fire: WOODS/FIELD FIRE,1/1/2016 10:35,POTTSTOWN,SOUTH ST & AMANDA SMITH DR
40.1290496,-75.3767385,JUNIATA RD & S SCHUYLKILL AVE;  WEST NORRITON; Station 308B; 2016-01-01 @ 10:31:26;,19403,EMS: ABDOMINAL PAINS,1/1/2016 10:31,WEST NORRITON,JUNIATA RD & S SCHUYLKILL AVE
39.9866944,-75.2569627,CITY AVE & HOLLINGSWORTH RD;  LOWER MERION; Station 313; 2016-01-01 @ 10:38:46;,19151,EMS: GENERAL WEAKNESS,1/1/2016 10:38,LOWER MERION,CITY AVE & HOLLINGSWORTH RD
40.1499131,-75.3958411,SALEM DR & N BARRY AVE;  LOWER PROVIDENCE; Station 322; 2016-01-01 @ 10:47:06;,19403,EMS: UNRESPONSIVE SUBJECT,1/1/2016 10:47,LOWER PROVIDENCE,SALEM DR & N BARRY AVE
40.0782602,-75.2980539,8TH AVE & HALLOWELL ST;  CONSHOHOCKEN; Station 313A; 2016-01-01 @ 10:57:21;,19428,EMS: CARDIAC EMERGENCY,1/1/2016 10:57,CONSHOHOCKEN,8TH AVE & HALLOWELL ST
40.1776738,-75.1463857,BROWN BRIAR CIR & SAWYERS WAY;  HORSHAM; Station 352; 2016-01-01 @ 11:00:18;,19044,EMS: CARDIAC EMERGENCY,1/1/2016 11:00,HORSHAM,BROWN BRIAR CIR & SAWYERS WAY
40.1434633,-75.1204613,CENTER AVE & MORELAND RD;  UPPER MORELAND; Station 381; 2016-01-01 @ 10:56:33;,19090,EMS: UNRESPONSIVE SUBJECT,1/1/2016 10:56,UPPER MORELAND,CENTER AVE & MORELAND RD
40.2356127,-75.2251278,HORSHAM RD;  MONTGOMERY; Station 345A; 2016-01-01 @ 11:01:23;,,EMS: VEHICLE ACCIDENT,1/1/2016 11:01,MONTGOMERY,HORSHAM RD
40.244848,-75.239783,HORSHAM RD & NORTH WALES RD; MONTGOMERY; 2016-01-01 @ 11:01:33;,19454,Traffic: VEHICLE ACCIDENT -,1/1/2016 11:01,MONTGOMERY,HORSHAM RD & NORTH WALES RD
40.1192546,-75.2362381,REDWOOD RD & SUSANS WAY;  WHITEMARSH; Station 318; 2016-01-01 @ 11:07:16;,,EMS: CARDIAC EMERGENCY,1/1/2016 11:07,WHITEMARSH,REDWOOD RD & SUSANS WAY
40.1483769,-75.1287205,W MORELAND RD;  UPPER MORELAND; Station 381; 2016-01-01 @ 11:12:19;,19090,EMS: VEHICLE ACCIDENT,1/1/2016 11:12,UPPER MORELAND,W MORELAND RD
40.1434633,-75.1204613,W MORELAND RD & CENTER AVE; UPPER MORELAND; 2016-01-01 @ 11:14:07;,19090,Traffic: VEHICLE ACCIDENT -,1/1/2016 11:14,UPPER MORELAND,W MORELAND RD & CENTER AVE
40.132899,-75.333714,LOGAN ST & MARKLEY ST;  NORRISTOWN; Station 308A; 2016-01-01 @ 11:19:54;,19401,EMS: ALTERED MENTAL STATUS,1/1/2016 11:19,NORRISTOWN,LOGAN ST & MARKLEY ST
40.1305414,-75.3179101,OLD ARCH RD & BIRCHWOOD DR;  EAST NORRITON; Station 308; 2016-01-01 @ 11:32:40;,19401,EMS: ALTERED MENTAL STATUS,1/1/2016 11:32,EAST NORRITON,OLD ARCH RD & BIRCHWOOD DR
40.2864378,-75.2637619,BETHLEHEM PIKE & HILLTOWN PIKE;  HATFIELD TOWNSHIP; Station 345; 2016-01-01 @ 11:38:45;,19440,EMS: CVA/STROKE,1/1/2016 11:38,HATFIELD TOWNSHIP,BETHLEHEM PIKE & HILLTOWN PIKE
40.1785238,-75.1265541,COTTAGE AVE & SUMMER AVE;  HORSHAM; Station 352; 2016-01-01 @ 11:41:55;,19044,EMS: BACK PAINS/INJURY,1/1/2016 11:41,HORSHAM,COTTAGE AVE & SUMMER AVE
40.2883557,-75.3785374,MAPLE AVE & YODER RD;  FRANCONIA; Station 344; 2016-01-01 @ 11:45:57;,19438,EMS: RESPIRATORY EMERGENCY,1/1/2016 11:45,FRANCONIA,MAPLE AVE & YODER RD
40.139911,-75.0309309,BLAKE RD & EMERSON RD; LOWER MORELAND; 2016-01-01 @ 11:50:15-Station:STA8;,19006,Fire: FIRE ALARM,1/1/2016 11:50,LOWER MORELAND,BLAKE RD & EMERSON RD
40.0077446,-75.2995764,COBBLESTONE DR & W SPRING AVE;  LOWER MERION; Station 313; 2016-01-01 @ 11:52:15;,19003,EMS: UNRESPONSIVE SUBJECT,1/1/2016 11:52,LOWER MERION,COBBLESTONE DR & W SPRING AVE
40.11337,-75.122356,OLD YORK RD & ADAMS AVE; ABINGTON; 2016-01-01 @ 11:54:30;,19001,Traffic: VEHICLE ACCIDENT -,1/1/2016 11:54,ABINGTON,OLD YORK RD & ADAMS AVE
